Year,Climate_Model,Discount_Rate,Difference,DifferenceToDate_Absolute,DifferenceToDate
2018,GFDL,7,-161021.36,-161021.36,-0.16102136
2019,GFDL,7,204573.89,43552.52,0.04355252
2020,GFDL,7,242308.05,285860.57,0.28586057
2021,GFDL,7,233589.21,519449.78,0.51944978
2022,GFDL,7,226191.54,745641.32,0.74564132
2023,GFDL,7,211993.59,957634.91,0.95763491
2024,GFDL,7,192206.75,1149841.66,1.14984166
2025,GFDL,7,175377.99,1325219.64,1.32521964
2026,GFDL,7,164710.4,1489930.04,1.48993004
2027,GFDL,7,166123.78,1656053.82,1.65605382
2028,GFDL,7,173568.17,1829622,1.829622
2029,GFDL,7,191579.1,2021201.1,2.0212011
2030,GFDL,7,176664.55,2197865.65,2.19786565
2031,GFDL,7,166601.85,2364467.5,2.3644675
2032,GFDL,7,157258.55,2521726.05,2.52172605
2033,GFDL,7,148410.75,2670136.8,2.6701368
2034,GFDL,7,139235.08,2809371.88,2.80937188
2035,GFDL,7,131197.34,2940569.22,2.94056922
2036,GFDL,7,122247.5,3062816.72,3.06281672
2037,GFDL,7,116311.37,3179128.09,3.17912809
2038,GFDL,7,109446.01,3288574.1,3.2885741
2039,GFDL,7,116456.87,3405030.96,3.40503096
2040,GFDL,7,109561.43,3514592.4,3.5145924
2041,GFDL,7,102676.99,3617269.39,3.61726939
2042,GFDL,7,98034.73,3715304.12,3.71530412
2043,GFDL,7,92040.58,3807344.71,3.80734471
2044,GFDL,7,84653.99,3891998.69,3.89199869
2045,GFDL,7,81198.38,3973197.08,3.97319708
2046,GFDL,7,75755.44,4048952.52,4.04895252
2047,GFDL,7,73010.07,4121962.58,4.12196258
2048,GFDL,7,70181.26,4192143.85,4.19214385
2049,GFDL,7,69523.71,4261667.56,4.26166756
2050,GFDL,7,65357.1,4327024.66,4.32702466
2018,GFDL,5,-161021.36,-161021.36,-0.16102136
2019,GFDL,5,208470.53,47449.17,0.04744917
2020,GFDL,5,251626.74,299075.91,0.29907591
2021,GFDL,5,247193.03,546268.94,0.54626894
2022,GFDL,5,243923.85,790192.79,0.79019279
2023,GFDL,5,232967.38,1023160.17,1.02316017
2024,GFDL,5,215246.21,1238406.38,1.23840638
2025,GFDL,5,200141.17,1438547.55,1.43854755
2026,GFDL,5,191547.66,1630095.2,1.6300952
2027,GFDL,5,196871.17,1826966.37,1.82696637
2028,GFDL,5,209611.39,2036577.76,2.03657776
2029,GFDL,5,235769.38,2272347.14,2.27234714
2030,GFDL,5,221555.81,2493902.95,2.49390295
2031,GFDL,5,212915.88,2706818.83,2.70681883
2032,GFDL,5,204803.3,2911622.14,2.91162214
2033,GFDL,5,196962.05,3108584.18,3.10858418
2034,GFDL,5,188304.34,3296888.53,3.29688853
2035,GFDL,5,180813.62,3477702.15,3.47770215
2036,GFDL,5,171688.26,3649390.41,3.64939041
2037,GFDL,5,166462.82,3815853.23,3.81585323
2038,GFDL,5,159620.81,3975474.04,3.97547404
2039,GFDL,5,173080.9,4148554.94,4.14855494
2040,GFDL,5,165934.33,4314489.27,4.31448927
2041,GFDL,5,158469.67,4472958.94,4.47295894
2042,GFDL,5,154186.89,4627145.83,4.62714583
2043,GFDL,5,147516.75,4774662.58,4.77466258
2044,GFDL,5,138262.32,4912924.91,4.91292491
2045,GFDL,5,135144.48,5048069.38,5.04806938
2046,GFDL,5,128487.01,5176556.39,5.17655639
2047,GFDL,5,126189.33,5302745.72,5.30274572
2048,GFDL,5,123610.55,5426356.27,5.42635627
2049,GFDL,5,124784.83,5551141.1,5.5511411
2050,GFDL,5,119540.78,5670681.89,5.67068189
2018,PCM,7,-250011.91,-250011.91,-0.25001191
2019,PCM,7,452030.8,202018.89,0.20201889
2020,PCM,7,511030.36,713049.25,0.71304925
2021,PCM,7,479352.62,1192401.87,1.19240187
2022,PCM,7,477508.96,1669910.83,1.66991083
2023,PCM,7,449740.37,2119651.2,2.1196512
